event_id,order,label,conditions,effects,result_text
river_crossing,3,Turn back.,,"[{""type"":""threat_delta"",""value"":10}]",You give up the crossing. Ground lost.
mass_grave,0,Say words over the dead (Scholar).,background:scholar,"[{""type"":""heal"",""target"":""PC"",""value"":2}]","The right words steady you, even here."
mass_grave,1,Disturb the soil.,,"[{""type"":""harm"",""target"":""random_party"",""value"":5},{""type"":""item_gain"",""item_id"":""rusted_dagger""}]",You find a blade half-buried in the turned earth. Someone pays for the digging.
mass_grave,2,Leave quickly.,,[],"You double your pace and don't look back."
ember_idol,0,Approach and sketch it (Gnome).,kindred:Gnome,"[{""type"":""threat_delta"",""value"":-10}]",You sketch it quickly. The proportions match no known god-form. That's useful.
ember_idol,1,Look directly at it.,,"[{""type"":""harm"",""target"":""PC"",""value"":3}]",It looks back. A pressure behind your eyes lingers for days.
ember_idol,2,Back away slowly.,,[],"You don't turn your back until the clearing is out of sight."
wandering_sellsword,0,Take her on.,,"[{""type"":""recruit_follower"",""archetype_id"":""archer_bandit"",""name"":""Renn""}]","Renn slings her quiver over one shoulder and falls into step behind you."
wandering_sellsword,1,Not interested.,,[],"She shrugs and turns back toward the road."
skeletal_wanderer,0,Let it follow.,,"[{""type"":""recruit_follower"",""archetype_id"":""skeleton_warrior"",""name"":""Rattle""}]","The skeleton rises and falls into step at the back of the group without a word."
skeletal_wanderer,1,Destroy it.,,"[{""type"":""harm"",""target"":""PC"",""value"":4}]","The bones resist more than they should. Your hand aches."
skeletal_wanderer,2,Leave it be.,,[],"It watches until you are out of sight."
